offset,address,idle,live1,live2,post,stable_live,stable_nonzero,changed_from_idle,returns_to_idle
0x0438,0x0ace8438,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x043c,0x0ace843c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0440,0x0ace8440,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0444,0x0ace8444,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0448,0x0ace8448,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x044c,0x0ace844c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0450,0x0ace8450,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0454,0x0ace8454,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0458,0x0ace8458,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x045c,0x0ace845c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0460,0x0ace8460,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0464,0x0ace8464,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0468,0x0ace8468,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x046c,0x0ace846c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0470,0x0ace8470,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0474,0x0ace8474,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0478,0x0ace8478,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x047c,0x0ace847c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0480,0x0ace8480,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0484,0x0ace8484,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0488,0x0ace8488,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x048c,0x0ace848c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0490,0x0ace8490,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0494,0x0ace8494,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0498,0x0ace8498,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x049c,0x0ace849c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x04a0,0x0ace84a0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x04a4,0x0ace84a4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x04a8,0x0ace84a8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x04ac,0x0ace84ac,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x04b0,0x0ace84b0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
