client,name,register,offset,role,live1,live2,stable
20,SPARSE_PD,frame_incr,0x2208,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,image_cfg0,0x220c,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,image_cfg1,0x2210,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,image_cfg2,0x2214,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,packer_cfg,0x2218,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,bw_limit,0x221c,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,frame_header_addr,0x2220,dynamic_buffer_address,0x00000000,0x00000000,1
20,SPARSE_PD,frame_header_incr,0x2224,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,frame_header_cfg,0x2228,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,irq_subsample_period,0x2230,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,irq_subsample_pattern,0x2234,writable_config,0xffffffff,0xffffffff,1
20,SPARSE_PD,framedrop_period,0x2238,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,framedrop_pattern,0x223c,writable_config,0xffffffff,0xffffffff,1
20,SPARSE_PD,meta_addr,0x2240,dynamic_buffer_address,0x00000000,0x00000000,1
20,SPARSE_PD,meta_cfg,0x2244,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,mode_cfg,0x2248,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,stats_ctrl,0x224c,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,ctrl_2,0x2250,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,lossy_thresh0,0x2254,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,lossy_thresh1,0x2258,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,lossy_var_offset,0x225c,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,mmu_prefetch_cfg,0x2260,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,mmu_prefetch_max_offset,0x2264,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,system_cache_cfg,0x2268,writable_config,0x00000000,0x00000000,1
20,SPARSE_PD,addr_status0,0x2270,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,addr_status1,0x2274,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,addr_status2,0x2278,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,addr_status3,0x227c,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,debug_status_cfg,0x2280,writable_debug_config,0x00000000,0x00000000,1
20,SPARSE_PD,debug_status0,0x2284,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,debug_status1,0x2288,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,cfg,0x2300,writable_config,0x00000010,0x00000010,1
21,PDAF_PD_DATA,image_addr,0x2304,dynamic_buffer_address,0x00000000,0x00000000,1
21,PDAF_PD_DATA,frame_incr,0x2308,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,image_cfg0,0x230c,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,image_cfg1,0x2310,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,image_cfg2,0x2314,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,packer_cfg,0x2318,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,bw_limit,0x231c,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,frame_header_addr,0x2320,dynamic_buffer_address,0x00000000,0x00000000,1
21,PDAF_PD_DATA,frame_header_incr,0x2324,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,frame_header_cfg,0x2328,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,irq_subsample_period,0x2330,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,irq_subsample_pattern,0x2334,writable_config,0xffffffff,0xffffffff,1
21,PDAF_PD_DATA,framedrop_period,0x2338,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,framedrop_pattern,0x233c,writable_config,0xffffffff,0xffffffff,1
21,PDAF_PD_DATA,meta_addr,0x2340,dynamic_buffer_address,0x00000000,0x00000000,1
21,PDAF_PD_DATA,meta_cfg,0x2344,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,mode_cfg,0x2348,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,stats_ctrl,0x234c,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,ctrl_2,0x2350,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,lossy_thresh0,0x2354,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,lossy_thresh1,0x2358,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,lossy_var_offset,0x235c,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,mmu_prefetch_cfg,0x2360,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,mmu_prefetch_max_offset,0x2364,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,system_cache_cfg,0x2368,writable_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,addr_status0,0x2370,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,addr_status1,0x2374,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,addr_status2,0x2378,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,addr_status3,0x237c,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,debug_status_cfg,0x2380,writable_debug_config,0x00000000,0x00000000,1
21,PDAF_PD_DATA,debug_status0,0x2384,status_readback,0x00000000,0x00000000,1
21,PDAF_PD_DATA,debug_status1,0x2388,status_readback,0x00000000,0x00000000,1
22,PDAF_SAD,cfg,0x2400,writable_config,0x00000010,0x00000010,1
