register_offset,absolute_address,public_name,ownership_class,basis,write_count,packet_coverage,distinct_value_count,distinct_values,within_packet_value_change,independent_windows_live_volatile,dmi_associated_control,dmi_associated_phase_variant
0x4d60,0x0ac75d60,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,1,0,1,0x00000000,0,0,0,0
0x5260,0x0ac76260,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,1,0,1,0x00000000,0,0,0,0
0x5458,0x0ac76458,,dmi_associated_static_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",2,"0,1",1,0x00000000,0,0,1,0
0x545c,0x0ac7645c,,dmi_associated_static_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",2,"0,1",1,0x00000000,0,0,1,0
0x5460,0x0ac76460,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000001,0,0,0,0
0x5464,0x0ac76464,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000eff,0,0,0,0
0x5468,0x0ac76468,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x0000086f,0,0,0,0
0x546c,0x0ac7646c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00001ffe,0,0,0,0
0x5470,0x0ac76470,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x6b2e6418,0,0,0,0
0x5474,0x0ac76474,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00001fff,0,0,0,0
0x5478,0x0ac76478,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x2770a9d8,0,0,0,0
0x547c,0x0ac7647c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x000007c2,0,0,0,0
0x5480,0x0ac76480,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0xc5946e6b,0,0,0,0
0x5484,0x0ac76484,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5488,0x0ac76488,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x001a89e8,0,0,0,0
0x548c,0x0ac7648c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5490,0x0ac76490,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x001a89e8,0,0,0,0
0x5494,0x0ac76494,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x000007a1,0,0,0,0
0x5498,0x0ac76498,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000415,0,0,0,0
0x549c,0x0ac7649c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x0000000a,0,0,0,0
0x54a0,0x0ac764a0,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x0000000b,0,0,0,0
0x54a4,0x0ac764a4,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000001,0,0,0,0
0x54a8,0x0ac764a8,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x54ac,0x0ac764ac,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5660,0x0ac76660,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00004001,0,0,0,0
0x5668,0x0ac76668,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x566c,0x0ac7666c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000080,0,0,0,0
0x5670,0x0ac76670,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x01000000,0,0,0,0
0x5674,0x0ac76674,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000066,0,0,0,0
0x5860,0x0ac76860,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000001,0,0,0,0
0x5868,0x0ac76868,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000080,0,0,0,0
0x586c,0x0ac7686c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5870,0x0ac76870,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00800000,0,0,0,0
0x5874,0x0ac76874,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5878,0x0ac76878,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x587c,0x0ac7687c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000080,0,0,0,0
0x5880,0x0ac76880,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5884,0x0ac76884,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5888,0x0ac76888,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x588c,0x0ac7688c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,2,"0,1",1,0x00000000,0,0,0,0
0x5a58,0x0ac76a58,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",4,"0,1,2,3",2,0x00000000;0x00000001,0,0,1,1
0x5a5c,0x0ac76a5c,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",4,"0,1,2,3",2,0x00000000;0x00000001,0,0,1,1
0x5a60,0x0ac76a60,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000001,0,0,0,0
0x5a64,0x0ac76a64,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000010,0,0,0,0
0x5a68,0x0ac76a68,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000020,0,0,0,0
0x5a6c,0x0ac76a6c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000010,0,0,0,0
0x5a70,0x0ac76a70,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000000,0,0,0,0
0x5a74,0x0ac76a74,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000000,0,0,0,0
0x5a78,0x0ac76a78,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000001,0,0,0,0
0x5a7c,0x0ac76a7c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000001,0,0,0,0
0x5a80,0x0ac76a80,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,4,"0,1,2,3",1,0x00000001,0,0,0,0
